City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Natal,-5.795,-35.2094,26.0,78,20,3.6,BR,1619496156
Oyón,-10.6681,-76.7731,4.98,86,47,0.37,PE,1619496259
Kulevcha,46.0303,29.9361,8.56,85,100,5.6,UA,1619496260
Puerto Lleras,3.0223,-73.4044,22.74,97,100,0.49,CO,1619496260
Egvekinot,66.3167,-179.1667,-3.24,93,92,1.41,RU,1619496129
Arman',59.7,150.1667,-2.87,72,33,2.04,RU,1619496261
Pevek,69.7008,170.3133,-3.14,93,100,1.41,RU,1619496137
Paracuru,-3.41,-39.0306,27.78,76,42,7.6,BR,1619496261
Portland,45.5234,-122.6762,11.67,69,88,0.92,US,1619496062
Salalah,17.0151,54.0924,29.0,70,20,1.03,OM,1619496262
Harper,4.375,-7.7169,26.46,84,33,2.39,LR,1619496262
Mendota,36.7536,-120.3816,14.0,44,1,4.12,US,1619496263
Lavrentiya,65.5833,-171.0,0.31,89,9,0.95,RU,1619496263
Philadelphia,39.9523,-75.1638,10.0,61,1,1.42,US,1619496218
Lata,40.1629,-8.3327,12.22,96,75,0.72,PT,1619496264
Meulaboh,4.1363,96.1285,29.45,67,98,1.82,ID,1619496264
Bilma,18.6853,12.9164,27.97,13,0,4.28,NE,1619496264
Bonthe,7.5264,-12.505,25.93,85,55,1.83,SL,1619496265
Kloulklubed,7.0419,134.2556,28.0,83,90,4.63,PW,1619496202
Jacksonville,30.3322,-81.6556,21.11,78,75,2.57,US,1619496034
Necochea,-38.5473,-58.7368,11.42,84,0,3.53,AR,1619496028
Martapura,-3.4167,114.85,32.0,62,40,1.03,ID,1619496266
Verāval,20.9,70.3667,30.23,57,42,5.0,IN,1619496266
Vestmanna,62.1564,-7.1664,3.0,87,40,8.75,FO,1619496266
Naze,28.3667,129.4833,24.0,57,20,4.63,JP,1619496267
Cairns,-16.9167,145.7667,27.0,69,75,8.75,AU,1619496240
Develi,38.3906,35.4922,8.0,87,75,0.82,TR,1619496267
Ārvi,20.9833,78.2333,35.72,22,98,5.7,IN,1619496268
Torbay,47.6666,-52.7314,6.11,100,90,10.29,CA,1619496065
Sittwe,20.15,92.9,30.5,61,29,4.04,MM,1619496268
Hella,67.2,14.4333,1.67,86,40,0.51,NO,1619496268
Safi,32.2994,-9.2372,17.17,86,86,6.12,MA,1619496269
Carballo,43.213,-8.691,12.78,95,98,1.17,ES,1619496269
Guerrero Negro,27.9769,-114.0611,15.48,77,100,7.08,MX,1619496270
Port Blair,11.6667,92.75,30.55,59,88,0.5,IN,1619496270
Camocim,-2.9022,-40.8411,24.35,91,46,3.27,BR,1619496270
Erenhot,43.6475,111.9767,8.29,19,93,11.02,CN,1619496271
Evensk,61.95,159.2333,-3.96,80,54,1.82,RU,1619496271
Rzeszów,50.0413,21.999,-2.22,93,0,1.03,PL,1619495705
Liseleje,56.0053,11.9483,2.78,77,0,1.34,DK,1619496271
Cidreira,-30.1811,-50.2056,16.16,79,1,4.21,BR,1619496179
Amapá,1.0,-52.0,21.78,99,100,0.8,BR,1619496167
Havelock,34.8791,-76.9013,17.78,87,1,2.06,US,1619496272
Batié,9.8833,-2.9167,26.32,71,91,2.51,BF,1619496273
Marzuq,14.4,46.4667,22.37,58,97,0.58,YE,1619496273
Kalulushi,-12.8378,28.0919,17.22,89,98,1.43,ZM,1619496273
Ola,59.5833,151.2833,-3.3,74,51,2.33,RU,1619496274
Bolgatanga,10.7856,-0.8514,29.49,54,74,4.24,GH,1619496274
Pachino,36.7186,15.0907,13.0,82,94,2.06,IT,1619496274
Wiarton,44.7407,-81.1332,2.78,86,90,3.6,CA,1619496275
Matagami,49.7502,-77.6328,-3.0,86,1,1.03,CA,1619496207
Bereket,39.2446,55.5154,29.98,19,89,0.71,TM,1619496275
Marsh Harbour,26.5412,-77.0636,23.16,70,10,9.15,BS,1619496276
Presidente Epitácio,-21.7633,-52.1156,17.19,67,5,2.47,BR,1619496276
Klaksvík,62.2266,-6.589,3.0,87,40,8.75,FO,1619496276
Tarata,-17.6167,-66.0167,14.0,62,3,4.12,BO,1619496277
Nizhniy Ingash,56.2,96.53,4.38,93,100,1.78,RU,1619496277
Auka,14.9333,-83.8333,22.49,85,68,1.36,HN,1619496277
Tarakan,3.3,117.6333,29.0,79,75,3.6,ID,1619496278
Jardim,-21.4803,-56.1381,14.89,65,0,1.99,BR,1619496278
Port Hardy,50.6996,-127.4199,10.0,87,75,1.03,CA,1619496209
Matara,5.9485,80.5353,29.43,71,80,2.42,LK,1619496279
Kavaratti,10.5669,72.642,29.25,72,11,3.2,IN,1619496098
Katsuura,35.1333,140.3,21.0,35,40,1.54,JP,1619496143
Sambava,-14.2667,50.1667,23.74,90,59,3.48,MG,1619496130
Udachny,66.4167,112.4,-6.91,78,95,6.37,RU,1619496279
Sawākin,19.1059,37.3321,28.27,70,0,1.33,SD,1619496280
Kruisfontein,-34.0033,24.7314,16.11,87,41,1.34,ZA,1619496280
Bolobo,-2.1667,16.2333,22.97,85,53,0.76,CD,1619496280
Saint George,37.1041,-113.5841,12.78,62,40,4.12,US,1619496057
Nyurba,63.2842,118.3319,-3.92,58,100,4.52,RU,1619496281
Takoradze,4.8845,-1.7554,26.68,87,100,3.0,GH,1619496281
Malinovoye Ozero,51.6753,79.7825,11.04,87,100,3.56,RU,1619496282
Saint-Prosper,46.2117,-70.4811,1.0,75,20,3.09,CA,1619496282
Dukat,62.55,155.55,-4.58,64,2,2.05,RU,1619496282
Vostok,46.4856,135.8833,16.61,24,100,2.77,RU,1619496283
San Quintín,30.4833,-115.95,13.64,80,90,3.99,MX,1619496283
Victoria Point,-27.5833,153.3,25.0,56,1,2.68,AU,1619496284
Warrnambool,-38.3833,142.4833,15.56,83,85,2.51,AU,1619496284
Molokovo,58.1661,36.7628,0.99,83,100,3.2,RU,1619496284
Lumsden,50.6501,-104.8678,3.0,65,20,4.12,CA,1619496022
Kaeo,-35.1,173.7833,18.33,78,48,0.89,NZ,1619496285
Champerico,14.3,-91.9167,22.22,94,6,1.16,GT,1619496285
Tūkrah,32.5341,20.5791,16.41,57,23,3.49,LY,1619496286
Port Keats,-14.25,129.55,30.64,61,90,2.36,AU,1619496286
Al Bardīyah,31.7561,25.0865,14.32,76,1,1.43,LY,1619496286
Bend,44.0582,-121.3153,6.0,61,1,3.09,US,1619496002
Marau,-28.4492,-52.2,9.09,90,0,1.03,BR,1619496287
Puerto Cabezas,14.0351,-83.3888,24.56,80,7,3.76,NI,1619496287
Umm Kaddadah,13.6017,26.6876,24.22,12,24,4.44,SD,1619496288
Vao,-22.6667,167.4833,22.8,66,7,8.91,NC,1619496188
Vanavara,60.34,102.2797,-0.6,54,20,1.17,RU,1619496288
Nelson Bay,-32.7167,152.15,21.11,60,40,3.6,AU,1619496289
Maceió,-9.6658,-35.7353,23.0,94,20,0.51,BR,1619496290
Meadow Lake,34.8014,-106.5436,20.0,10,75,3.09,US,1619496022
Grindavik,63.8424,-22.4338,6.0,100,75,1.54,IS,1619496290
Olafsvik,64.8945,-23.7142,5.7,80,0,2.97,IS,1619496290
Khani,41.9563,42.9566,10.0,100,90,1.03,GE,1619496291
Denpasar,-8.65,115.2167,30.0,70,20,6.69,ID,1619496263
Hobyo,5.3505,48.5268,28.16,73,99,2.18,SO,1619496112
Beringovskiy,63.05,179.3167,0.85,94,74,1.55,RU,1619496292
Mitsamiouli,-11.3847,43.2844,27.18,73,92,3.23,KM,1619496292
Sawang Daen Din,17.4753,103.4575,24.43,87,100,1.44,TH,1619496293
Makat,47.6469,53.3463,14.05,70,93,7.13,KZ,1619496293
George Town,5.4112,100.3354,28.33,78,20,1.54,MY,1619496293
La Rioja,42.25,-2.5,12.0,94,75,0.96,ES,1619496294
Ilmajoki,62.7333,22.5667,-1.11,93,0,2.57,FI,1619496294
Devils Lake,48.1128,-98.8651,8.89,81,90,2.77,US,1619496294
Orhei,47.3831,28.8231,5.0,93,90,2.57,MD,1619496295
Shubarkuduk,49.1447,56.4872,14.12,70,97,2.04,KZ,1619496295
Bonavista,48.6499,-53.1147,4.0,93,100,4.63,CA,1619496244
Fortuna,40.5982,-124.1573,10.0,81,1,3.09,US,1619495996
Tabou,4.423,-7.3528,26.33,85,40,2.28,CI,1619496296
Paraná,-31.732,-60.5238,15.56,92,1,0.45,AR,1619496296
Tautira,-17.7333,-149.15,28.0,69,20,1.54,PF,1619496296
Libertador General San Martín,-23.8064,-64.7876,18.33,77,91,0.45,AR,1619496297
Rocha,-34.4833,-54.3333,10.54,85,0,2.26,UY,1619496297
Monrovia,6.3005,-10.7969,25.0,94,40,1.79,LR,1619496179
Megion,61.0296,76.1136,7.0,65,0,3.0,RU,1619496298
Byron Bay,-28.65,153.6167,23.0,64,1,5.14,AU,1619496298
Ilhabela,-23.7781,-45.3581,22.24,85,60,1.45,BR,1619496136
Saucillo,28.0167,-105.2833,26.32,11,100,8.7,MX,1619496299
Mahon,39.8885,4.2658,13.0,88,90,3.6,ES,1619496299
Emerald,-23.5333,148.1667,27.22,32,17,5.14,AU,1619496251
Grajaú,-5.8194,-46.1386,22.39,95,98,0.53,BR,1619496299
Görele,41.0308,39.0031,10.0,93,75,2.06,TR,1619496300
Methóni,36.8197,21.7049,15.0,100,40,3.15,GR,1619496300
Sisimiut,66.9395,-53.6735,0.43,99,100,3.92,GL,1619496301
Kaohsiung City,22.6163,120.3133,28.0,61,75,1.54,TW,1619496058
Saint Lawrence,36.0553,14.204,16.11,94,100,2.06,MT,1619496301
Tevaitoa,-16.7833,-151.5,27.26,71,11,3.56,PF,1619496302
Nanortalik,60.1432,-45.2371,1.07,93,68,4.85,GL,1619496284
Taganak,6.0833,118.3,30.0,74,20,2.06,PH,1619496302
Pacific Grove,36.6177,-121.9166,11.11,80,47,0.45,US,1619496034
San Jacinto,33.7839,-116.9586,10.56,77,89,3.0,US,1619496307
Coyhaique,-45.5752,-72.0662,13.0,76,75,1.54,CL,1619496308
Nizhniy Odes,63.6445,54.856,3.48,71,40,2.42,RU,1619496308
Saqqez,36.2499,46.2735,17.31,36,99,3.14,IR,1619496241
Ondjiva,-17.0667,15.7333,16.78,39,70,1.13,AO,1619496308
São Gabriel da Cachoeira,-0.1303,-67.0892,22.88,99,100,0.99,BR,1619496309
Palmer,42.1584,-72.3287,6.0,45,1,4.63,US,1619496309
Tuatapere,-46.1333,167.6833,7.78,76,94,1.34,NZ,1619496193
Carnarvon,-24.8667,113.6333,28.0,39,0,3.09,AU,1619496310
Jarosław,50.0162,22.6778,-1.67,93,0,1.54,PL,1619496310
Nemuro,43.3236,145.575,12.0,35,20,6.69,JP,1619496310
Sobolevo,54.4299,31.8996,0.46,70,85,2.68,RU,1619496311
Stephenville,32.2207,-98.2023,23.0,56,1,5.14,US,1619496311
Borogontsy,62.6683,131.1683,-0.16,85,100,3.56,RU,1619496312
Enid,36.3956,-97.8784,21.0,68,1,8.75,US,1619496057
Casambalangan,18.3765,122.1274,26.85,61,100,4.8,PH,1619496312
Tokmak,47.2514,35.7058,4.31,73,2,1.83,UA,1619496312
Katangli,51.7102,143.2326,1.93,72,21,5.02,RU,1619496313
Quelimane,-17.8786,36.8883,24.0,94,20,1.03,MZ,1619496313
Indiana,40.0003,-86.2503,18.33,42,1,6.69,US,1619496034
Broome,42.2506,-75.833,3.0,35,1,1.54,US,1619496314
Korla,41.7597,86.1469,17.48,20,40,2.99,CN,1619496314
Ouésso,1.6136,16.0517,21.21,96,89,0.81,CG,1619496315
Zhaoqing,23.0512,112.4597,23.33,99,100,1.06,CN,1619496315
Grandview,38.8858,-94.533,24.0,40,1,7.72,US,1619496039
Dunedin,-45.8742,170.5036,7.78,69,100,6.71,NZ,1619496316
Daru,-9.0763,143.2092,27.87,82,80,2.57,PG,1619496316
Ribeira Grande,38.5167,-28.7,15.87,85,100,1.67,PT,1619496316
Karligan,14.975,122.0456,27.25,69,98,6.49,PH,1619496317
Sinegorskiy,48.0139,40.8447,3.97,76,31,6.04,RU,1619496317
Awjilah,29.1081,21.2869,18.58,34,2,2.11,LY,1619496318
Narsaq,60.9167,-46.05,2.0,93,75,3.6,GL,1619496104
Mazyr,52.0495,29.2456,-0.68,88,17,3.53,BY,1619496318
Rørvik,64.8621,11.2373,1.0,100,40,2.06,NO,1619496318
Pastavy,55.1168,26.8326,-0.45,87,100,3.98,BY,1619496319
High Level,58.5169,-117.136,-8.0,53,40,3.09,CA,1619496319
Kholmogory,64.2229,41.656,0.0,74,90,3.0,RU,1619496319
Gaza,31.5,34.4667,16.67,100,71,2.76,PS,1619496320
Yining,29.0361,114.5636,21.24,76,99,0.54,CN,1619496320
Beïnamar,8.6698,15.3813,28.01,42,39,1.89,TD,1619496321
Roebourne,-20.7833,117.1333,32.32,16,0,5.8,AU,1619496321
Płońsk,52.6235,20.3755,-1.0,100,0,1.03,PL,1619496321
Lom Sak,16.7798,101.2422,27.0,83,40,2.6,TH,1619496322
Itarema,-2.9248,-39.9167,24.76,85,69,3.81,BR,1619496322
Grosse Pointe Farms,42.4092,-82.8919,7.78,53,40,4.12,US,1619496323
Oodweyne,9.4092,45.064,20.88,73,100,2.39,SO,1619496323
Worland,44.0169,-107.9554,6.11,87,90,3.6,US,1619496323
Carutapera,-1.195,-46.02,24.34,92,84,1.96,BR,1619496324
Catuday,16.2923,119.8062,27.43,67,99,2.4,PH,1619496324
Mehamn,71.0357,27.8492,-3.0,68,40,3.6,NO,1619496324
Broken Hill,-31.95,141.4333,21.0,32,2,3.6,AU,1619496325
Taywarah,33.35,64.4167,14.57,19,12,0.77,AF,1619496325
Requena,39.4883,-1.1004,13.33,84,100,2.51,ES,1619496325
Laas,46.6166,10.7002,11.11,100,90,2.06,IT,1619496326
Sakaiminato,35.55,133.2333,22.0,30,75,1.54,JP,1619496326
Hofn,64.2539,-15.2082,3.45,69,17,1.71,IS,1619496326
Codrington,-38.2667,141.9667,16.36,59,87,3.23,AU,1619496106
Rotifunk,8.2333,-12.6833,24.27,89,95,0.97,SL,1619496327
Samarinda,-0.5,117.15,30.06,69,58,1.72,ID,1619496316
Najrān,17.4924,44.1277,20.0,88,40,2.05,SA,1619496328
Kudahuvadhoo,2.6708,72.8944,28.25,72,70,2.07,MV,1619496328
Røros,62.5747,11.3842,-3.0,80,90,1.54,NO,1619496328
Zyryanka,65.75,150.85,-1.36,76,16,6.79,RU,1619496329
Nome,64.5011,-165.4064,8.0,49,1,3.6,US,1619496035
Berdigestyakh,62.0989,126.6992,-3.21,74,100,4.66,RU,1619496329
Letlhakeng,-24.0944,25.0298,14.47,24,0,1.58,BW,1619496329
Berlevåg,70.8578,29.0864,-3.0,68,40,3.6,NO,1619496176
Craig,40.5153,-107.5464,8.0,42,1,2.57,US,1619496330
Sur,22.5667,59.5289,32.3,35,19,1.53,OM,1619496330
Puerto Escondido,15.85,-97.0667,27.69,75,19,3.31,MX,1619496046
Seoul,37.5683,126.9778,18.0,48,0,3.09,KR,1619496331
Turukhansk,65.8167,87.9833,1.25,97,3,5.41,RU,1619496331
Zhezkazgan,47.8043,67.7144,18.45,19,79,6.57,KZ,1619496332
Bay-Khaak,51.1667,94.5,8.56,31,57,0.7,RU,1619496332
Balkanabat,39.5108,54.3671,28.38,24,2,3.58,TM,1619496332
Horki,54.2861,30.9842,-1.0,86,66,4.0,BY,1619496333
Banda Aceh,5.5577,95.3222,30.04,65,78,2.24,ID,1619496333
Umluj,25.0213,37.2685,24.64,66,0,2.06,SA,1619496334
Caravelas,-17.7125,-39.2481,23.34,84,71,2.68,BR,1619496131
Hamilton,39.1834,-84.5333,17.22,48,75,4.12,US,1619496114
Port-Gentil,-0.7193,8.7815,27.51,78,100,2.1,GA,1619496334
Pangai,-19.8,-174.35,25.0,83,90,3.6,TO,1619496335
Normandin,48.8333,-72.5321,1.0,75,72,6.69,CA,1619496335
Arrondissement de Mende,44.6667,3.5,5.39,67,100,0.73,FR,1619496336
Jalu,29.0331,21.5482,18.6,34,1,2.8,LY,1619496336
Sudova Vyshnya,49.7889,23.3722,1.67,80,0,1.0,UA,1619496336
Petropavlovsk-Kamchatskiy,53.0452,158.6483,2.0,100,90,2.0,RU,1619496124
Vetlanda,57.4289,15.0776,-1.67,86,75,1.0,SE,1619496337
Christchurch,-43.5333,172.6333,12.0,47,50,6.69,NZ,1619496247
Talara,-4.5772,-81.2719,21.61,79,96,6.49,PE,1619496337
Pangnirtung,66.1451,-65.7125,1.0,86,75,1.54,CA,1619496338
Nantucket,41.2835,-70.0995,6.11,70,1,2.06,US,1619496124
Hirara,24.8,125.2833,26.0,57,40,5.66,JP,1619496150
Shestakovo,56.4915,103.96,1.33,52,88,3.64,RU,1619496339
Morondava,-20.2833,44.2833,25.8,75,93,2.55,MG,1619496339
Vila Franca do Campo,37.7167,-25.4333,15.0,82,40,4.12,PT,1619496122
San Isidro,-12.1167,-77.05,18.0,82,40,5.14,PE,1619496339
Half Moon Bay,37.4636,-122.4286,11.0,81,20,6.17,US,1619496340
Louis Trichardt,-23.0439,29.9032,15.59,43,0,1.38,ZA,1619496340
Goundam,16.4145,-3.6708,29.03,15,0,3.16,ML,1619496340
Griffith,41.5284,-87.4237,20.0,51,1,5.14,US,1619496341
Miguel Hidalgo,19.4225,-99.2028,21.0,40,75,4.12,MX,1619496341
Fairbanks,64.8378,-147.7164,10.0,37,1,8.23,US,1619496342
Igurusi,-8.85,33.85,16.14,92,75,0.66,TZ,1619496342
Chifeng,42.2683,118.9636,14.92,20,52,7.18,CN,1619496342
Zwedru,6.0667,-8.1281,22.39,98,44,1.07,LR,1619496343
Khovd,48.0056,91.6419,7.39,18,50,1.46,MN,1619496215
Laje,-10.1833,-40.9667,22.83,70,72,3.8,BR,1619496344
Samarai,-10.6167,150.6667,28.58,71,88,3.99,PG,1619496344
Brae,60.3964,-1.353,6.0,87,90,7.72,GB,1619496344
Kinablangan,7.6947,126.5503,27.79,76,86,2.19,PH,1619496073
San Vicente,-26.6167,-54.1333,8.87,88,0,1.32,AR,1619496345
Linhares,-19.3911,-40.0722,22.14,94,41,0.91,BR,1619496171
Bambuí,-20.0064,-45.9769,20.58,56,80,0.29,BR,1619496345
Ryki,51.6257,21.9327,-1.11,49,6,1.83,PL,1619496346
Williams Lake,52.1415,-122.1445,13.0,18,20,3.09,CA,1619496314
Puerto Peñasco,31.3167,-113.5333,20.0,46,100,1.79,MX,1619496346
Usinsk,65.9939,57.5281,1.05,99,100,3.92,RU,1619496214
Jampur,29.6441,70.5954,36.89,10,0,3.96,PK,1619496347
Ixtapa,20.7,-105.2,26.0,78,75,4.12,MX,1619496236
Mnogovershinnyy,53.9353,139.9242,6.72,63,91,2.56,RU,1619496348
Abu Samrah,35.3029,37.1841,14.91,79,0,5.09,SY,1619496348
Lenguazaque,5.3071,-73.7115,12.07,95,100,0.8,CO,1619496348
Calama,-22.4667,-68.9333,4.0,28,0,7.72,CL,1619496349
Belmonte,-15.8631,-38.8828,23.0,83,40,1.54,BR,1619496349
Koungou,-12.7336,45.2042,25.0,94,0,0.51,YT,1619496350
San Juan Bautista,-14.0108,-75.7358,19.0,82,2,2.57,PE,1619496350
Neiafu,-18.65,-173.9833,26.0,94,75,5.14,TO,1619496350
Sitka,57.0531,-135.33,10.0,66,90,2.01,US,1619496351
Kirkland Lake,48.1446,-80.0377,2.0,69,100,1.91,CA,1619496351
Rancho Palos Verdes,33.7445,-118.387,14.0,67,75,5.14,US,1619496055
Gayéri,12.6497,0.4931,31.31,31,93,2.7,BF,1619496352
Calamar,10.2511,-74.9146,27.0,83,40,5.14,CO,1619496352
Whitehorse,60.7161,-135.0538,12.0,20,40,5.66,CA,1619496256
Constitución,-35.3333,-72.4167,14.01,60,0,2.72,CL,1619496139
Turaif,31.6725,38.6637,11.0,87,0,4.12,SA,1619496353
Parfen'yevo,58.484,43.4088,2.21,80,10,1.99,RU,1619496353
Moree,-29.4667,149.85,25.0,31,0,0.51,AU,1619496353
Grand Gaube,-20.0064,57.6608,23.89,89,100,4.02,MU,1619496354
Dudinka,69.4058,86.1778,-4.21,83,49,7.4,RU,1619496354
Kiryat Gat,31.61,34.7642,16.67,100,78,2.17,IL,1619496311
Nísia Floresta,-6.0911,-35.2086,26.0,94,20,1.54,BR,1619496354
Baykit,61.67,96.37,3.83,70,19,2.35,RU,1619496355
Antalaha,-14.9003,50.2788,23.71,88,73,2.21,MG,1619496355
Erzin,36.9559,36.2,17.78,91,56,1.13,TR,1619496356
Uravakonda,14.95,77.2667,32.58,32,21,2.89,IN,1619496356
Kenora,49.8167,-94.4337,4.0,81,90,2.57,CA,1619496356
Burnie,-41.0667,145.9167,18.33,53,49,4.02,AU,1619496357
East Stroudsburg,40.9995,-75.1813,4.44,45,20,1.0,US,1619496357
